question,option1,option2,option3,option4,correct_answer,topic
What is a semaphore?,Synchronization mechanism for shared resources,Sorting algorithm,Database indexing method,Network routing protocol,Synchronization mechanism for shared resources,OS
What is the kernel?,Core component of operating system,Database server,Network switch,Memory pointer,Core component of operating system,OS
What is virtual memory?,Technique extending RAM using disk,Network routing protocol,Database indexing method,Sorting algorithm,Technique extending RAM using disk,OS
What is an IP address?,Unique identifier for devices on network,Database identifier,Sorting algorithm,Memory pointer,Unique identifier for devices on network,Networking
What is DNS?,System translating domain names to IP addresses,Database indexing system,Sorting algorithm,Memory allocation system,System translating domain names to IP addresses,Networking
What is HTTP?,Protocol for transferring web data,Database communication protocol,Sorting algorithm,Memory management system,Protocol for transferring web data,Networking
What is a firewall?,Security system controlling network traffic,Database encryption system,Sorting algorithm,Memory allocation system,Security system controlling network traffic,Networking
What is a router?,Device forwarding packets between networks,Database storage device,Sorting algorithm,Memory manager,Device forwarding packets between networks,Networking
What is a switch?,Device connecting devices in LAN,Database storage device,Sorting algorithm,Memory manager,Device connecting devices in LAN,Networking
What is polymorphism?,Method overriding,Multiple inheritance,Data hiding,Encapsulation,Method overriding,OOP
What is a class?,Blueprint for creating objects,Memory allocation unit,Function definition,Data structure,Blueprint for creating objects,OOP
What is abstraction?,Hiding complex implementation details,Data encapsulation,Inheritance mechanism,Polymorphism technique,Hiding complex implementation details,OOP
What is the cloud computing model where provider manages infrastructure?,IaaS,PaaS,SaaS,FaaS,IaaS,Cloud
What is AWS S3 used for?,Object storage,Virtual machines,Databases,Containers,Object storage,Cloud
What is polymorphism in OOP?,Ability of objects to take multiple forms,Data hiding,Class definition,Memory allocation,Ability of objects to take multiple forms,OOP
What is multiple inheritance?,Class inheriting from multiple parents,Single parent inheritance,Interface implementation,Object creation,Class inheriting from multiple parents,OOP
What is constructor?,Special method to initialize objects, Destructor method,Regular method,Static method,Special method to initialize objects,OOP
What is method overloading?,Same name different parameters,Method overriding,Constructor definition,Static method,Same name different parameters,OOP
What is an object?,Instance of a class,Class definition,Memory block,Function pointer,Instance of a class,OOP
What is SaaS?,Software as a Service,Infrastructure service,Platform service,Function service,Software as a Service,Cloud
What is PaaS?,Platform as a Service,Software service,Infrastructure service,Storage service,Platform as a Service,Cloud
What is serverless architecture?,No server provisioning needed,Server always needed,Container based,VM based,No server provisioning needed,Cloud
What is Docker?,Containerization platform,Virtual machine,Cloud provider,Orchestration tool,Containerization platform,Cloud
What is VPC?,Virtual Private Cloud,Virtual machine,Public cloud,Private storage,Virtual Private Cloud,Cloud
What is TCP?,Connection oriented protocol,Connectionless protocol,Application protocol,Routing protocol,Connection oriented protocol,CN
What is UDP?,Connectionless protocol,Connection oriented,Reliable delivery,Stream protocol,Connectionless protocol,CN
What is OSI model?,7 layer model,4 layer model,5 layer model,Application only model,7 layer model,CN
What is HTTP status 200?,OK,Not Found,Server Error,Bad Request,OK,CN
What is ARP?,Address Resolution Protocol,DNS resolution,IP routing,Packet filtering,Address Resolution Protocol,CN
What is the STAR method for interviews?,Situation Task Action Result,Strengths Team Achievements Rewards,Standard Testing Assessment Review,Strategic Technical Analysis Report,Situation Task Action Result,Behavioral
How do you prioritize tasks?,Based on urgency and importance,Random order,First come first served,Delegate all,Based on urgency and importance,Behavioral
What motivates you at work?,Problem solving,Salary,Office location,Team size,Problem solving,Behavioral
Describe a time you failed?,Learned from mistake,Blame others,Avoid failure,Avoid risk,Learned from mistake,Behavioral
How do you handle tight deadlines?,Plan and prioritize,Work overtime only,Delegate everything,Postpone tasks,Plan and prioritize,Behavioral
What is CAP theorem?,Consistency Availability Partition tolerance,Cache Allocation Performance,Concurrent Access Protocol,Command Action Processing,CAP theorem,SD
What is sharding?,Data partitioning across servers,Data duplication,Data encryption,Data compression,Data partitioning across servers,SD
What is database indexing?,Speed up query retrieval,Data storage,Data encryption,Data duplication,Speed up query retrieval,SD
What is horizontal scaling?,Add more machines,Upgrade CPU,RAM increase,Storage increase,Add more machines,SD
What is message broker?,Async communication facilitator,Database server,Load balancer,Cache server,Async communication facilitator,SD
# Note: Added ~50 new questions across OOP, Cloud, CN, Behavioral, SD (total now ~100+). More can be added if needed.

